customer_id,customer_name,customer_type,industry,country,region,contract_type,customer_size,join_date
CUST-00001,"Rogers, Watkins and Whitaker",Small Business,Finance,France,Europe,Basic,Small,2021-03-09 12:42:06
CUST-00002,Taylor Group,Mid Market,Education,India,Asia-Pacific,Premium,Medium,2020-04-08 17:53:19
CUST-00003,"Edwards, Cross and Ball",Small Business,Finance,India,Asia-Pacific,Basic,Small,2024-08-20 01:46:55
CUST-00004,"Henderson, Ford and Taylor",Small Business,Retail,France,Europe,Basic,Small,2023-08-06 00:24:49
CUST-00005,Ward Ltd,Small Business,Healthcare,Brazil,South America,Basic,Small,2023-03-26 09:25:59
CUST-00006,"Rich, Baird and Khan",Small Business,Manufacturing,Netherlands,Europe,Premium,Medium,2023-11-28 09:12:06
CUST-00007,Phillips PLC,Small Business,Technology,Japan,Asia-Pacific,Premium,Small,2023-01-28 13:27:43
CUST-00008,Moore-Bullock,Small Business,Technology,Germany,Europe,Premium,Small,2020-09-04 21:43:15
CUST-00009,James Group,Mid Market,Telecommunications,Japan,Asia-Pacific,Premium,Large,2023-02-07 11:51:32
CUST-00010,"Taylor, Watson and Smith",Small Business,Retail,France,Europe,Basic,Small,2024-07-17 12:21:20
CUST-00011,Robinson Group,Mid Market,Finance,Japan,Asia-Pacific,Basic,Large,2022-10-04 12:16:23
CUST-00012,"Hawkins, Davis and Torres",Mid Market,Logistics,Canada,North America,Premium,Medium,2023-05-31 09:00:53
CUST-00013,Mejia LLC,Small Business,Finance,Netherlands,Europe,Basic,Medium,2024-03-31 01:22:51
CUST-00014,"Velazquez, Reed and Gray",Small Business,Technology,Australia,Asia-Pacific,Premium,Small,2021-03-09 19:35:29
CUST-00015,"Lynch, Williams and Parker",Small Business,Education,France,Europe,Basic,Medium,2023-01-29 16:24:41
CUST-00016,Curtis-Melton,Small Business,Healthcare,India,Asia-Pacific,Premium,Medium,2020-05-26 09:15:05
CUST-00017,"Griffith, Craig and Anthony",Mid Market,Healthcare,United Kingdom,Europe,Basic,Large,2023-04-10 10:19:48
CUST-00018,"Butler, Cook and Ward",Small Business,Manufacturing,India,Asia-Pacific,Premium,Medium,2020-12-21 21:35:48
CUST-00019,Cruz Ltd,Small Business,Healthcare,France,Europe,Basic,Medium,2022-06-30 20:57:20
CUST-00020,Tapia-Moore,Small Business,Healthcare,France,Europe,Basic,Small,2022-07-16 05:39:22
CUST-00021,Duncan Ltd,Mid Market,Logistics,Canada,North America,Basic,Medium,2021-05-16 21:58:09
CUST-00022,"Perry, Neal and Hess",Small Business,Logistics,India,Asia-Pacific,Premium,Small,2024-02-27 01:04:56
CUST-00023,"Lewis, Thompson and Garcia",Small Business,Manufacturing,France,Europe,Premium,Small,2022-01-18 08:41:14
CUST-00024,Chase and Sons,Mid Market,Healthcare,United States,North America,Premium,Large,2024-07-13 01:27:02
CUST-00025,Sanchez-Moore,Mid Market,Technology,Australia,Asia-Pacific,Basic,Medium,2024-06-27 10:12:32
CUST-00026,Lee LLC,Mid Market,Technology,Canada,North America,Basic,Medium,2023-05-24 15:01:19
CUST-00027,Murphy Group,Enterprise,Telecommunications,Australia,Asia-Pacific,Premium,Large,2021-01-10 22:43:37
