ticket_id,customer_id,employee_id,ticket_type,priority,channel,region,created_date,resolved_date,resolution_hours,first_response_minutes,satisfaction_score,escalated,reopened,sla_breached,status,ticket_cost
TICK-2024-000001,CUST-02014,EMP-0210,Performance Issue,High,Phone,Europe,2024-08-13 03:42:07,2024-08-13 16:10:55,12.48,19,3.9,False,False,True,Closed,369.6
TICK-2025-000002,CUST-05049,EMP-0138,Performance Issue,High,Email,Asia-Pacific,2025-06-29 10:31:10,2025-06-30 08:05:22,21.57,19,2.9,True,False,True,Closed,671.4
TICK-2024-000003,CUST-01082,EMP-0077,Performance Issue,Medium,Phone,Europe,2024-06-10 14:43:13,2024-06-12 16:22:58,49.66,39,2.7,False,False,True,Closed,864.94
TICK-2024-000004,CUST-12560,EMP-0036,Integration Support,High,Email,Europe,2024-02-14 03:56:46,2024-02-15 23:30:22,43.56,20,3.0,True,False,True,Closed,1171.2
TICK-2024-000005,CUST-08930,EMP-0090,Feature Request,High,Email,Europe,2024-04-17 18:18:57,2024-04-18 06:08:45,11.83,17,3.4,False,False,True,Closed,276.6
TICK-2025-000006,CUST-04609,EMP-0372,Data Sync Issue,Medium,Email,Asia-Pacific,2025-03-21 14:46:28,2025-03-22 06:30:52,15.74,24,4.4,False,False,False,Closed,306.1
TICK-2024-000007,CUST-01881,EMP-0386,Feature Request,Critical,Email,Europe,2024-10-25 10:26:41,2024-10-25 17:41:41,7.25,7,4.1,False,False,True,Closed,321.25
TICK-2025-000008,CUST-12987,EMP-0052,Feature Request,Medium,Email,Europe,2025-04-05 17:32:08,2025-04-05 22:32:53,5.01,29,4.2,False,False,False,Closed,140.25
TICK-2024-000009,CUST-01854,EMP-0165,Feature Request,Medium,Chat,South America,2024-07-09 21:08:12,2024-07-10 11:05:48,13.96,11,4.5,False,False,False,Closed,389.0
TICK-2025-000010,CUST-02935,EMP-0376,Payment Issue,Critical,Email,Europe,2025-04-24 05:01:13,2025-04-24 06:12:37,1.19,1,4.9,False,False,False,Closed,173.8
TICK-2025-000011,CUST-01375,EMP-0298,Bug Report,Low,Chat,Europe,2025-08-30 14:19:19,2025-08-31 04:55:55,14.61,43,3.7,False,False,False,Closed,309.15
TICK-2025-000012,CUST-08267,EMP-0306,Performance Issue,Medium,Chat,Asia-Pacific,2025-08-22 12:18:09,2025-08-23 04:06:54,15.81,38,4.6,False,False,False,Closed,436.25
TICK-2025-000013,CUST-09085,EMP-0125,Data Sync Issue,Medium,Email,Europe,2025-01-11 03:52:22,2025-01-12 01:17:34,21.42,66,4.2,False,True,False,Closed,558.4
TICK-2024-000014,CUST-09694,EMP-0383,Data Sync Issue,Medium,Chat,Europe,2024-06-24 11:08:42,2024-06-24 19:59:42,8.85,84,4.7,False,False,False,Closed,247.0
TICK-2024-000015,CUST-04561,EMP-0009,Data Sync Issue,Medium,Email,Europe,2024-02-04 07:46:10,2024-02-04 22:23:58,14.63,72,3.9,True,False,False,Closed,482.6
TICK-2025-000016,CUST-05822,EMP-0295,Feature Request,Medium,Phone,Europe,2025-01-17 02:17:49,2025-01-17 23:44:13,21.44,37,4.3,False,False,False,Closed,468.8
TICK-2025-000017,CUST-09084,EMP-0314,Data Sync Issue,Low,Phone,Asia-Pacific,2025-08-01 09:31:32,2025-08-02 02:41:08,17.16,69,4.5,False,False,False,Closed,327.4
TICK-2024-000018,CUST-00876,EMP-0242,Bug Report,High,Chat,Europe,2024-04-27 10:51:31,2024-04-27 17:42:31,6.85,26,4.6,False,False,False,Closed,227.0
TICK-2024-000019,CUST-06100,EMP-0133,Feature Request,High,Email,North America,2024-01-08 19:18:36,2024-01-08 22:46:12,3.46,22,4.5,False,False,False,Closed,109.2
TICK-2024-000020,CUST-01670,EMP-0224,Login Issue,High,Web Portal,North America,2024-09-04 01:51:06,2024-09-04 05:41:30,3.84,38,4.4,False,False,False,Closed,96.8
TICK-2024-000021,CUST-06540,EMP-0224,Payment Issue,High,Chat,Europe,2024-10-07 10:05:05,2024-10-07 10:43:29,0.64,27,4.7,False,False,False,Closed,62.8
TICK-2024-000022,CUST-03166,EMP-0149,Integration Support,Medium,Web Portal,Europe,2024-09-06 16:44:06,2024-09-11 05:58:30,109.24,34,2.2,True,False,True,Closed,2484.8
TICK-2025-000023,CUST-08646,EMP-0382,Bug Report,Medium,Web Portal,Asia-Pacific,2025-08-14 16:04:22,2025-08-15 13:49:58,21.76,54,4.5,False,False,False,Closed,634.0
TICK-2025-000024,CUST-10514,EMP-0247,Account Management,Medium,Chat,Asia-Pacific,2025-08-29 02:10:38,2025-08-29 08:11:14,6.01,46,4.7,False,False,False,Closed,185.25
TICK-2024-000025,CUST-06401,EMP-0080,Login Issue,Low,Web Portal,Asia-Pacific,2024-10-11 01:49:01,2024-10-11 06:52:37,5.06,1,4.8,False,False,False,Closed,121.2
TICK-2024-000026,CUST-04518,EMP-0064,Login Issue,Medium,Phone,Asia-Pacific,2024-07-12 22:38:19,2024-07-12 23:47:55,1.16,30,5.0,False,False,False,Closed,49.0
TICK-2025-000027,CUST-06275,EMP-0050,Payment Issue,High,Email,South America,2025-09-01 13:01:11,2025-09-01 19:02:23,6.02,8,4.0,False,False,False,Closed,170.4
TICK-2024-000028,CUST-12270,EMP-0125,Feature Request,High,Phone,Europe,2024-10-23 20:02:45,2024-10-24 05:56:45,9.9,6,3.7,False,False,True,Closed,238.0
TICK-2025-000029,CUST-12861,EMP-0277,Bug Report,High,Email,Asia-Pacific,2025-04-14 06:17:46,2025-04-14 18:39:58,12.37,22,3.5,True,False,True,Closed,395.55
